CandidateID,AgeGroup,Gender,Race,YearsExperience,InterviewScore,Hired
1,25-34,Male,Majority,3,85,Yes
2,35-44,Female,Majority,5,88,Yes
3,18-24,Male,Minority,1,70,No
4,45-54,Male,Majority,10,92,Yes
5,25-34,Female,Minority,4,90,Yes
6,55+,Male,Majority,20,95,Yes
7,35-44,Male,Majority,6,82,No
8,25-34,Female,Majority,3,85,Yes
9,45-54,Female,Minority,12,88,Yes
10,25-34,Male,Minority,2,75,No
11,35-44,Male,Majority,8,89,Yes
12,18-24,Female,Majority,1,80,No
13,55+,Female,Majority,18,91,Yes
14,25-34,Male,Majority,4,84,Yes
15,35-44,Female,Minority,7,87,Yes
16,45-54,Male,Minority,14,90,Yes
17,25-34,Female,Majority,3,83,Yes
18,18-24,Male,Majority,2,78,No
19,35-44,Male,Majority,5,86,Yes
20,55+,Male,Minority,16,88,Yes
21,25-34,Female,Minority,4,89,Yes
22,45-54,Female,Majority,11,92,Yes
23,35-44,Male,Minority,6,84,No
24,25-34,Male,Majority,3,81,No
25,18-24,Female,Minority,1,75,No
26,55+,Female,Minority,22,94,Yes
27,35-44,Female,Majority,7,88,Yes
28,45-54,Male,Majority,13,91,Yes
29,25-34,Male,Minority,4,82,No
30,18-24,Male,Majority,1,77,No
31,35-44,Female,Minority,8,90,Yes
32,55+,Male,Majority,19,93,Yes
33,25-34,Female,Majority,3,85,Yes
34,45-54,Female,Minority,10,87,Yes
35,35-44,Male,Majority,6,86,Yes
36,18-24,Female,Majority,2,80,No
37,25-34,Male,Majority,5,88,Yes
38,55+,Female,Majority,25,96,Yes
39,45-54,Male,Minority,12,89,Yes
40,35-44,Female,Majority,9,91,Yes
